Character,Rank,Votes,Pool year,Total nomber of votes
Gedatsu,088,5,2009,42116
Gedatsu,,,2015,69472
Gedatsu,,,2017,80000
Gedatsu,117,,2021,12000000
Hina,,,1999,36000
Hina,,,2002,51873
Hina,036,115,2006,50804
Hina,062,27,2009,42116
Hina,105,,2015,69472
Hina,121,,2017,80000
Hina,149,,2021,12000000
Wyper,,,1999,36000
Wyper,,,2002,51873
Wyper,037,96,2006,50804
Wyper,043,107,2009,42116
Wyper,081,,2015,69472
Wyper,134,,2017,80000
Wyper,088,9674,2021,12000000
Mozu and Kiwi,,,1999,36000
Mozu and Kiwi,,,2002,51873
Mozu and Kiwi,038,84,2006,50804
Mozu and Kiwi,122,,2009,42116
Mozu and Kiwi,,,2015,69472
Mozu and Kiwi,,,2017,80000
Mozu and Kiwi,,,2021,12000000
T Bone,,,1999,36000
T Bone,,,2002,51873
T Bone,040,76,2006,50804
T Bone,122,,2009,42116
T Bone,118,,2015,69472
T Bone,,,2017,80000
T Bone,173,,2021,12000000
Tom,,,1999,36000
Tom,,,2002,51873
Tom,041,71,2006,50804
Tom,083,6,2009,42116
Tom,124,,2015,69472
Tom,121,,2017,80000
Tom,152,,2021,12000000
Edward Newgate,,,1999,36000
Edward Newgate,,,2002,51873
Edward Newgate,043,65,2006,50804
Edward Newgate,069,11,2009,42116
Edward Newgate,026,,2015,69472
Edward Newgate,028,,2017,80000
Edward Newgate,031,59957,2021,12000000
Nico Olvia,,,1999,36000
Nico Olvia,,,2002,51873
Nico Olvia,044,60,2006,50804
Nico Olvia,122,,2009,42116
Nico Olvia,,,2015,69472
Nico Olvia,108,,2017,80000
Nico Olvia,160,,2021,12000000
Kamakiri,,,1999,36000
Kamakiri,,,2002,51873
Kamakiri,045,53,2006,50804
Kamakiri,122,,2009,42116
Kamakiri,,,2015,69472
Kamakiri,,,2017,80000
Kamakiri,,,2021,12000000
Klabautermann,,,1999,36000
Klabautermann,,,2002,51873
Klabautermann,049,46,2006,50804
Klabautermann,122,,2009,42116
Klabautermann,,,2015,69472
Klabautermann,,,2017,80000
Klabautermann,,,2021,12000000
Going Merry,,,1999,36000
Going Merry,,,2002,51873
Going Merry,050,44,2006,50804
Going Merry,025,210,2009,42116
Going Merry,093,,2015,69472
Going Merry,060,,2017,80000
Going Merry,032,49992,2021,12000000
Kokoro,,,1999,36000
Kokoro,,,2002,51873
Kokoro,053,,2006,50804
Kokoro,122,,2009,42116
Kokoro,,,2015,69472
Kokoro,259,,2017,80000
Kokoro,,,2021,12000000
Gomorrah,,,1999,36000
Gomorrah,,,2002,51873
Gomorrah,055,,2006,50804
Gomorrah,,,2009,42116
Gomorrah,,,2015,69472
Gomorrah,,,2017,80000
Gomorrah,,,2021,12000000
Sarquiss,,,1999,36000
Sarquiss,,,2002,51873
Sarquiss,056,,2006,50804
Sarquiss,,,2009,42116
Sarquiss,,,2015,69472
Sarquiss,,,2017,80000
Sarquiss,,,2021,12000000
Sabagashira I,,,1999,36000
Sabagashira I,,,2002,51873
Sabagashira I,057,,2006,50804
Sabagashira I,093,,2009,42116
Sabagashira I,137,,2015,69472
Sabagashira I,,,2017,80000
Sabagashira I,,,2021,12000000
Tyrannosaurus,,,1999,36000
Tyrannosaurus,,,2002,51873
Tyrannosaurus,058,,2006,50804
Tyrannosaurus,,,2009,42116
Tyrannosaurus,101,,2015,69472
Tyrannosaurus,113,,2017,80000
Tyrannosaurus,150,,2021,12000000
Ratchet,,,1999,36000
Ratchet,,,2002,51873
Ratchet,059,,2006,50804
Ratchet,122,,2009,42116
Ratchet,,,2015,69472
Ratchet,,,2017,80000
Ratchet,,,2021,12000000
Donquixote Doflamingo,,,1999,36000
Donquixote Doflamingo,,,2002,51873
Donquixote Doflamingo,061,,2006,50804
Donquixote Doflamingo,046,98,2009,42116
Donquixote Doflamingo,017,691,2015,69472
Donquixote Doflamingo,017,1125,2017,80000
Donquixote Doflamingo,020,96402,2021,12000000
Nefertari Cobra,,,1999,36000
Nefertari Cobra,,,2002,51873
Nefertari Cobra,063,,2006,50804
Nefertari Cobra,076,8,2009,42116
Nefertari Cobra,137,,2015,69472
Nefertari Cobra,,,2017,80000
Nefertari Cobra,,,2021,12000000
Jaguar D. Saul,,,1999,36000
Jaguar D. Saul,,,2002,51873
Jaguar D. Saul,064,,2006,50804
Jaguar D. Saul,071,10,2009,42116
Jaguar D. Saul,105,,2015,69472
Jaguar D. Saul,113,,2017,80000
Jaguar D. Saul,156,,2021,12000000
Chicken (from Enies Lobby),,,1999,36000
Chicken (from Enies Lobby),,,2002,51873
Chicken (from Enies Lobby),065,,2006,50804
Chicken (from Enies Lobby),,,2009,42116
Chicken (from Enies Lobby),,,2015,69472
Chicken (from Enies Lobby),,,2017,80000
Chicken (from Enies Lobby),,,2021,12000000
Bellamy,,,1999,36000
Bellamy,,,2002,51873
Bellamy,067,,2006,50804
Bellamy,063,25,2009,42116
Bellamy,055,,2015,69472
Bellamy,129,,2017,80000
Bellamy,122,,2021,12000000
Helmeppo,,,1999,36000
Helmeppo,,,2002,51873
Helmeppo,068,,2006,50804
Helmeppo,122,,2009,42116
Helmeppo,066,,2015,69472
Helmeppo,108,,2017,80000
Helmeppo,,,2021,12000000
Holy,,,1999,36000
Holy,,,2002,51873
Holy,069,,2006,50804
Holy,,,2009,42116
Holy,,,2015,69472
Holy,,,2017,80000
Holy,,,2021,12000000
Professor Clover,,,1999,36000
Professor Clover,,,2002,51873
Professor Clover,072,,2006,50804
Professor Clover,122,,2009,42116
Professor Clover,,,2015,69472
Professor Clover,,,2017,80000
Professor Clover,,,2021,12000000
Wanze,,,1999,36000
Wanze,,,2002,51873
Wanze,075,,2006,50804
Wanze,122,,2009,42116
Wanze,124,,2015,69472
Wanze,,,2017,80000
Wanze,,,2021,12000000
Chimney,,,1999,36000
Chimney,,,2002,51873
Chimney,076,,2006,50804
Chimney,,,2009,42116
Chimney,,,2015,69472
Chimney,,,2017,80000
Chimney,198,,2021,12000000
Gonbe,,,1999,36000
Gonbe,,,2002,51873
Gonbe,077,,2006,50804
Gonbe,122,,2009,42116
Gonbe,124,,2015,69472
Gonbe,,,2017,80000
Gonbe,,,2021,12000000
Zambai,,,1999,36000
Zambai,,,2002,51873
Zambai,078,,2006,50804
Zambai,,,2009,42116
Zambai,,,2015,69472
Zambai,,,2017,80000
