Character,Rank,Votes,Pool year,Total nomber of votes
Emporio Ivankov,064,,2015,69472
Emporio Ivankov,077,,2017,80000
Emporio Ivankov,079,11043,2021,12000000
Izou,,,1999,36000
Izou,,,2002,51873
Izou,,,2006,50804
Izou,,,2009,42116
Izou,069,,2015,69472
Izou,081,,2017,80000
Izou,048,20940,2021,12000000
Hannyabal,,,1999,36000
Hannyabal,,,2002,51873
Hannyabal,,,2006,50804
Hannyabal,,,2009,42116
Hannyabal,069,,2015,69472
Hannyabal,108,,2017,80000
Hannyabal,119,,2021,12000000
Z,,,1999,36000
Z,,,2002,51873
Z,,,2006,50804
Z,,,2009,42116
Z,071,,2015,69472
Z,081,,2017,80000
Z,,,2021,12000000
Dellinger,,,1999,36000
Dellinger,,,2002,51873
Dellinger,,,2006,50804
Dellinger,,,2009,42116
Dellinger,076,,2015,69472
Dellinger,,,2017,80000
Dellinger,,,2021,12000000
Gladius,,,1999,36000
Gladius,,,2002,51873
Gladius,,,2006,50804
Gladius,,,2009,42116
Gladius,076,,2015,69472
Gladius,113,,2017,80000
Gladius,,,2021,12000000
Tonjit,,,1999,36000
Tonjit,,,2002,51873
Tonjit,,,2006,50804
Tonjit,,,2009,42116
Tonjit,081,,2015,69472
Tonjit,,,2017,80000
Tonjit,,,2021,12000000
Kanjuro,,,1999,36000
Kanjuro,,,2002,51873
Kanjuro,,,2006,50804
Kanjuro,,,2009,42116
Kanjuro,086,,2015,69472
Kanjuro,175,,2017,80000
Kanjuro,192,,2021,12000000
Wicca,,,1999,36000
Wicca,,,2002,51873
Wicca,,,2006,50804
Wicca,,,2009,42116
Wicca,086,,2015,69472
Wicca,,,2017,80000
Wicca,,,2021,12000000
Farafra,,,1999,36000
Farafra,,,2002,51873
Farafra,,,2006,50804
Farafra,,,2009,42116
Farafra,088,,2015,69472
Farafra,048,,2017,80000
Farafra,106,,2021,12000000
Shachi,,,1999,36000
Shachi,,,2002,51873
Shachi,,,2006,50804
Shachi,,,2009,42116
Shachi,088,,2015,69472
Shachi,100,,2017,80000
Shachi,165,,2021,12000000
Camel,,,1999,36000
Camel,,,2002,51873
Camel,,,2006,50804
Camel,,,2009,42116
Camel,097,,2015,69472
Camel,,,2017,80000
Camel,,,2021,12000000
Diamante,,,1999,36000
Diamante,,,2002,51873
Diamante,,,2006,50804
Diamante,,,2009,42116
Diamante,098,,2015,69472
Diamante,,,2017,80000
Diamante,,,2021,12000000
Curly Dadan,,,1999,36000
Curly Dadan,,,2002,51873
Curly Dadan,,,2006,50804
Curly Dadan,,,2009,42116
Curly Dadan,098,,2015,69472
Curly Dadan,192,,2017,80000
Curly Dadan,113,,2021,12000000
Shyarly,,,1999,36000
Shyarly,,,2002,51873
Shyarly,,,2006,50804
Shyarly,,,2009,42116
Shyarly,098,,2015,69472
Shyarly,,,2017,80000
Shyarly,195,,2021,12000000
Leo,,,1999,36000
Leo,,,2002,51873
Leo,,,2006,50804
Leo,,,2009,42116
Leo,101,,2015,69472
Leo,094,,2017,80000
Leo,136,,2021,12000000
Pica,,,1999,36000
Pica,,,2002,51873
Pica,,,2006,50804
Pica,,,2009,42116
Pica,101,,2015,69472
Pica,,,2017,80000
Pica,,,2021,12000000
Kin'emon,,,1999,36000
Kin'emon,,,2002,51873
Kin'emon,,,2006,50804
Kin'emon,,,2009,42116
Kin'emon,105,,2015,69472
Kin'emon,113,,2017,80000
Kin'emon,092,8757,2021,12000000
Sadi,,,1999,36000
Sadi,,,2002,51873
Sadi,,,2006,50804
Sadi,,,2009,42116
Sadi,109,,2015,69472
Sadi,,,2017,80000
Sadi,,,2021,12000000
Inazuma,,,1999,36000
Inazuma,,,2002,51873
Inazuma,,,2006,50804
Inazuma,,,2009,42116
Inazuma,109,,2015,69472
Inazuma,,,2017,80000
Inazuma,,,2021,12000000
Lucky Roux,,,1999,36000
Lucky Roux,,,2002,51873
Lucky Roux,,,2006,50804
Lucky Roux,,,2009,42116
Lucky Roux,109,,2015,69472
Lucky Roux,121,,2017,80000
Lucky Roux,172,,2021,12000000
Heracles,,,1999,36000
Heracles,,,2002,51873
Heracles,,,2006,50804
Heracles,,,2009,42116
Heracles,118,,2015,69472
Heracles,,,2017,80000
Heracles,,,2021,12000000
Bogard,,,1999,36000
Bogard,,,2002,51873
Bogard,,,2006,50804
Bogard,,,2009,42116
Bogard,120,,2015,69472
Bogard,,,2017,80000
Bogard,,,2021,12000000
Momonga,,,1999,36000
Momonga,,,2002,51873
Momonga,,,2006,50804
Momonga,,,2009,42116
Momonga,120,,2015,69472
Momonga,138,,2017,80000
Momonga,190,,2021,12000000
Ripper,,,1999,36000
Ripper,,,2002,51873
Ripper,,,2006,50804
Ripper,,,2009,42116
Ripper,124,,2015,69472
Ripper,,,2017,80000
Ripper,,,2021,12000000
Trebol,,,1999,36000
Trebol,,,2002,51873
Trebol,,,2006,50804
Trebol,,,2009,42116
Trebol,124,,2015,69472
Trebol,,,2017,80000
Trebol,,,2021,12000000
Momonosuke,,,1999,36000
Momonosuke,,,2002,51873
Momonosuke,,,2006,50804
Momonosuke,,,2009,42116
Momonosuke,124,,2015,69472
Momonosuke,113,,2017,80000
Momonosuke,180,,2021,12000000
Yarisugi,,,1999,36000
Yarisugi,,,2002,51873
Yarisugi,,,2006,50804
Yarisugi,,,2009,42116
Yarisugi,124,,2015,69472
Yarisugi,,,2017,80000
Yarisugi,,,2021,12000000
Hikoichi,,,1999,36000
Hikoichi,,,2002,51873
Hikoichi,,,2006,50804
Hikoichi,,,2009,42116
Hikoichi,124,,2015,69472
Hikoichi,,,2017,80000
Hikoichi,,,2021,12000000
Suleiman,,,1999,36000
Suleiman,,,2002,51873
Suleiman,,,2006,50804
Suleiman,,,2009,42116
Suleiman,124,,2015,69472
Suleiman,,,2017,80000
Suleiman,,,2021,12000000
Salome,,,1999,36000
Salome,,,2002,51873
Salome,,,2006,50804
Salome,,,2009,42116
Salome,124,,2015,69472
Salome,,,2017,80000
Salome,,,2021,12000000
Ain,,,1999,36000
Ain,,,2002,51873
Ain,,,2006,50804
Ain,,,2009,42116
Ain,137,,2015,69472
Ain,045,,2017,80000
Ain,,,2021,12000000
Shiki,,,1999,36000
Shiki,,,2002,51873
Shiki,,,2006,50804
Shiki,,,2009,42116
Shiki,137,,2015,69472
Shiki,,,2017,80000
Shiki,,,2021,12000000
Mizuta Mawaritosuki,,,1999,36000
Mizuta Mawaritosuki,,,2002,51873
Mizuta Mawaritosuki,,,2006,50804
Mizuta Mawaritosuki,,,2009,42116
Mizuta Mawaritosuki,137,,2015,69472
Mizuta Mawaritosuki,,,2017,80000
Mizuta Mawaritosuki,,,2021,12000000
Momousagi,,,1999,36000
Momousagi,,,2002,51873
Momousagi,,,2006,50804
Momousagi,,,2009,42116
Momousagi,137,,2015,69472
Momousagi,,,2017,80000
Momousagi,,,2021,12000000
Terracotta,,,1999,36000
Terracotta,,,2002,51873
Terracotta,,,2006,50804
Terracotta,,,2009,42116
Terracotta,137,,2015,69472
Terracotta,,,2017,80000
Terracotta,,,2021,12000000
Ryokugyu,,,1999,36000
Ryokugyu,,,2002,51873
Ryokugyu,,,2006,50804
Ryokugyu,,,2009,42116
Ryokugyu,137,,2015,69472
Ryokugyu,,,2017,80000
Ryokugyu,,,2021,12000000
F-Wani,,,1999,36000
F-Wani,,,2002,51873
F-Wani,,,2006,50804
F-Wani,,,2009,42116
F-Wani,137,,2015,69472
F-Wani,,,2017,80000
F-Wani,,,2021,12000000
Mukkashimi Tower,,,1999,36000
Mukkashimi Tower,,,2002,51873
Mukkashimi Tower,,,2006,50804
Mukkashimi Tower,,,2009,42116
Mukkashimi Tower,152,,2015,69472
Mukkashimi Tower,,,2017,80000
Mukkashimi Tower,,,2021,12000000
Sarfunkel,,,1999,36000
Sarfunkel,,,2002,51873
Sarfunkel,,,2006,50804
Sarfunkel,,,2009,42116
Sarfunkel,195,,2015,69472
Sarfunkel,,,2017,80000
Sarfunkel,,,2021,12000000
Pandawoman,,,1999,36000
Pandawoman,,,2002,51873
Pandawoman,,,2006,50804
Pandawoman,,,2009,42116
Pandawoman,261,,2015,69472
Pandawoman,,,2017,80000
Pandawoman,,,2021,12000000
Kumae,,,1999,36000
Kumae,,,2002,51873
Kumae,,,2006,50804
Kumae,,,2009,42116
Kumae,261,,2015,69472
Kumae,,,2017,80000
Kumae,,,2021,12000000
Aremo Ganmi,,,1999,36000
Aremo Ganmi,,,2002,51873
Aremo Ganmi,,,2006,50804
Aremo Ganmi,,,2009,42116
Aremo Ganmi,261,,2015,69472
Aremo Ganmi,,,2017,80000
Aremo Ganmi,,,2021,12000000
Stefan,,,1999,36000
Stefan,,,2002,51873
Stefan,,,2006,50804
Stefan,,,2009,42116
Stefan,261,,2015,69472
Stefan,,,2017,80000
Stefan,,,2021,12000000
Vinsmoke Reiju,,,1999,36000
Vinsmoke Reiju,,,2002,51873
Vinsmoke Reiju,,,2006,50804
Vinsmoke Reiju,,,2009,42116
Vinsmoke Reiju,,,2015,69472
Vinsmoke Reiju,014,1665,2017,80000
Vinsmoke Reiju,039,33481,2021,12000000
Carrot,,,1999,36000
Carrot,,,2002,51873
Carrot,,,2006,50804
Carrot,,,2009,42116
Carrot,,,2015,69472
Carrot,027,,2017,80000
Carrot,008,388565,2021,12000000
Charlotte Pudding,,,1999,36000
Charlotte Pudding,,,2002,51873
Charlotte Pudding,,,2006,50804
Charlotte Pudding,,,2009,42116
Charlotte Pudding,,,2015,69472
Charlotte Pudding,029,,2017,80000
Charlotte Pudding,045,23334,2021,12000000
Nekomamushi,,,1999,36000
Nekomamushi,,,2002,51873
Nekomamushi,,,2006,50804
Nekomamushi,,,2009,42116
Nekomamushi,,,2015,69472
Nekomamushi,031,,2017,80000
Nekomamushi,101,,2021,12000000
Charlotte Katakuri,,,1999,36000
Charlotte Katakuri,,,2002,51873
Charlotte Katakuri,,,2006,50804
Charlotte Katakuri,,,2009,42116
Charlotte Katakuri,,,2015,69472
Charlotte Katakuri,046,,2017,80000
Charlotte Katakuri,014,152070,2021,12000000
Capone Bege,,,1999,36000
Capone Bege,,,2002,51873
Capone Bege,,,2006,50804
Capone Bege,,,2009,42116
Capone Bege,,,2015,69472
Capone Bege,052,,2017,80000
Capone Bege,158,,2021,12000000
Vinsmoke Ichiji,,,1999,36000
Vinsmoke Ichiji,,,2002,51873
Vinsmoke Ichiji,,,2006,50804
Vinsmoke Ichiji,,,2009,42116
Vinsmoke Ichiji,,,2015,69472
Vinsmoke Ichiji,058,,2017,80000
Vinsmoke Ichiji,115,,2021,12000000
Carina,,,1999,36000
Carina,,,2002,51873
Carina,,,2006,50804
Carina,,,2009,42116
Carina,,,2015,69472
Carina,060,,2017,80000
Carina,,,2021,12000000
Pedro,,,1999,36000
Pedro,,,2002,51873
Pedro,,,2006,50804
Pedro,,,2009,42116
Pedro,,,2015,69472
Pedro,063,,2017,80000
Pedro,061,14983,2021,12000000
Chinjao,,,1999,36000
Chinjao,,,2002,51873
Chinjao,,,2006,50804
Chinjao,,,2009,42116
Chinjao,,,2015,69472
Chinjao,063,,2017,80000
Chinjao,,,2021,12000000
Gild Tesoro,,,1999,36000
Gild Tesoro,,,2002,51873
Gild Tesoro,,,2006,50804
Gild Tesoro,,,2009,42116
Gild Tesoro,,,2015,69472
Gild Tesoro,066,,2017,80000
Gild Tesoro,,,2021,12000000
Vinsmoke Sora,,,1999,36000
Vinsmoke Sora,,,2002,51873
Vinsmoke Sora,,,2006,50804
Vinsmoke Sora,,,2009,42116
Vinsmoke Sora,,,2015,69472
Vinsmoke Sora,066,,2017,80000
Vinsmoke Sora,194,,2021,12000000
Raki,,,1999,36000
Raki,,,2002,51873
Raki,,,2006,50804
Raki,,,2009,42116
Raki,,,2015,69472
Raki,068,,2017,80000
Raki,131,,2021,12000000
Big Mom,,,1999,36000
Big Mom,,,2002,51873
Big Mom,,,2006,50804
Big Mom,,,2009,42116
Big Mom,,,2015,69472
Big Mom,070,,2017,80000
Big Mom,086,9864,2021,12000000
Vinsmoke Yonji,,,1999,36000
Vinsmoke Yonji,,,2002,51873
Vinsmoke Yonji,,,2006,50804
Vinsmoke Yonji,,,2009,42116
Vinsmoke Yonji,,,2015,69472
Vinsmoke Yonji,090,,2017,80000
Vinsmoke Yonji,142,,2021,12000000
Pekoms,,,1999,36000
Pekoms,,,2002,51873
Pekoms,,,2006,50804
Pekoms,,,2009,42116
Pekoms,,,2015,69472
Pekoms,090,,2017,80000
Pekoms,,,2021,12000000
Vinsmoke Niji,,,1999,36000
Vinsmoke Niji,,,2002,51873
Vinsmoke Niji,,,2006,50804
Vinsmoke Niji,,,2009,42116
Vinsmoke Niji,,,2015,69472
Vinsmoke Niji,094,,2017,80000
Vinsmoke Niji,111,,2021,12000000
Shiryu,,,1999,36000
Shiryu,,,2002,51873
Shiryu,,,2006,50804
Shiryu,,,2009,42116
Shiryu,,,2015,69472
Shiryu,097,,2017,80000
Shiryu,,,2021,12000000
Kaidou,,,1999,36000
Kaidou,,,2002,51873
Kaidou,,,2006,50804
Kaidou,,,2009,42116
Kaidou,,,2015,69472
Kaidou,097,,2017,80000
Kaidou,065,13847,2021,12000000
Mansherry,,,1999,36000
Mansherry,,,2002,51873
Mansherry,,,2006,50804
Mansherry,,,2009,42116
Mansherry,,,2015,69472
Mansherry,104,,2017,80000
Mansherry,179,,2021,12000000
Sengoku,,,1999,36000
Sengoku,,,2002,51873
Sengoku,,,2006,50804
Sengoku,,,2009,42116
Sengoku,,,2015,69472
Sengoku,134,,2017,80000
Sengoku,167,,2021,12000000
Charlotte Smoothie,,,1999,36000
Charlotte Smoothie,,,2002,51873
Charlotte Smoothie,,,2006,50804
Charlotte Smoothie,,,2009,42116
Charlotte Smoothie,,,2015,69472
Charlotte Smoothie,158,,2017,80000
Charlotte Smoothie,176,,2021,12000000
Jack,,,1999,36000
Jack,,,2002,51873
Jack,,,2006,50804
Jack,,,2009,42116
Jack,,,2015,69472
Jack,168,,2017,80000
Jack,184,,2021,12000000
Portgas D. Rouge,,,1999,36000
Portgas D. Rouge,,,2002,51873
Portgas D. Rouge,,,2006,50804
Portgas D. Rouge,,,2009,42116
Portgas D. Rouge,,,2015,69472
Portgas D. Rouge,175,,2017,80000
Portgas D. Rouge,200,,2021,12000000
Yamato,,,1999,36000
Yamato,,,2002,51873
Yamato,,,2006,50804
Yamato,,,2009,42116
Yamato,,,2015,69472
Yamato,,,2017,80000
Yamato,011,259738,2021,12000000
Kozuki Oden,,,1999,36000
Kozuki Oden,,,2002,51873
Kozuki Oden,,,2006,50804
Kozuki Oden,,,2009,42116
Kozuki Oden,,,2015,69472
Kozuki Oden,,,2017,80000
Kozuki Oden,024,82773,2021,12000000
Woop Slap,,,1999,36000
Woop Slap,,,2002,51873
Woop Slap,,,2006,50804
Woop Slap,,,2009,42116
Woop Slap,,,2015,69472
Woop Slap,,,2017,80000
Woop Slap,037,37528,2021,12000000
Kikunojo,,,1999,36000
Kikunojo,,,2002,51873
Kikunojo,,,2006,50804
Kikunojo,,,2009,42116
Kikunojo,,,2015,69472
Kikunojo,,,2017,80000
Kikunojo,047,21040,2021,12000000
Kozuki Hiyori,,,1999,36000
Kozuki Hiyori,,,2002,51873
Kozuki Hiyori,,,2006,50804
Kozuki Hiyori,,,2009,42116
Kozuki Hiyori,,,2015,69472
Kozuki Hiyori,,,2017,80000
Kozuki Hiyori,049,20427,2021,12000000
Tama,,,1999,36000
Tama,,,2002,51873
Tama,,,2006,50804
Tama,,,2009,42116
Tama,,,2015,69472
Tama,,,2017,80000
Tama,054,18159,2021,12000000
Ulti,,,1999,36000
Ulti,,,2002,51873
Ulti,,,2006,50804
Ulti,,,2009,42116
Ulti,,,2015,69472
Ulti,,,2017,80000
Ulti,056,17707,2021,12000000
Namur,,,1999,36000
Namur,,,2002,51873
Namur,,,2006,50804
Namur,,,2009,42116
Namur,,,2015,69472
Namur,,,2017,80000
Namur,071,13034,2021,12000000
Orlumbus,,,1999,36000
Orlumbus,,,2002,51873
Orlumbus,,,2006,50804
Orlumbus,,,2009,42116
Orlumbus,,,2015,69472
Orlumbus,,,2017,80000
Orlumbus,078,11425,2021,12000000
Morgans,,,1999,36000
Morgans,,,2002,51873
Morgans,,,2006,50804
Morgans,,,2009,42116
Morgans,,,2015,69472
Morgans,,,2017,80000
Morgans,080,10812,2021,12000000
Denjiro (Kyoshiro),,,1999,36000
Denjiro (Kyoshiro),,,2002,51873
Denjiro (Kyoshiro),,,2006,50804
Denjiro (Kyoshiro),,,2009,42116
Denjiro (Kyoshiro),,,2015,69472
Denjiro (Kyoshiro),,,2017,80000
Denjiro (Kyoshiro),083,10488,2021,12000000
Charlotte Mont-d'Or,,,1999,36000
Charlotte Mont-d'Or,,,2002,51873
Charlotte Mont-d'Or,,,2006,50804
Charlotte Mont-d'Or,,,2009,42116
Charlotte Mont-d'Or,,,2015,69472
Charlotte Mont-d'Or,,,2017,80000
Charlotte Mont-d'Or,090,9470,2021,12000000
Vista,,,1999,36000
Vista,,,2002,51873
Vista,,,2006,50804
Vista,,,2009,42116
Vista,,,2015,69472
Vista,,,2017,80000
Vista,094,8577,2021,12000000
Charlotte Perospero,,,1999,36000
Charlotte Perospero,,,2002,51873
Charlotte Perospero,,,2006,50804
Charlotte Perospero,,,2009,42116
Charlotte Perospero,,,2015,69472
Charlotte Perospero,,,2017,80000
Charlotte Perospero,095,8380,2021,12000000
Kawamatsu,,,1999,36000
Kawamatsu,,,2002,51873
Kawamatsu,,,2006,50804
Kawamatsu,,,2009,42116
Kawamatsu,,,2015,69472
Kawamatsu,,,2017,80000
Kawamatsu,096,8208,2021,12000000
Charlotte Cracker,,,1999,36000
Charlotte Cracker,,,2002,51873
Charlotte Cracker,,,2006,50804
Charlotte Cracker,,,2009,42116
Charlotte Cracker,,,2015,69472
Charlotte Cracker,,,2017,80000
Charlotte Cracker,099,7910,2021,12000000
King,,,1999,36000
King,,,2002,51873
King,,,2006,50804
King,,,2009,42116
King,,,2015,69472
King,,,2017,80000
King,116,,2021,12000000
Diesel,,,1999,36000
Diesel,,,2002,51873
Diesel,,,2006,50804
Diesel,,,2009,42116
Diesel,,,2015,69472
Diesel,,,2017,80000
Diesel,120,,2021,12000000
Magellan,,,1999,36000
Magellan,,,2002,51873
Magellan,,,2006,50804
Magellan,,,2009,42116
Magellan,,,2015,69472
Magellan,,,2017,80000
Magellan,123,,2021,12000000
Page One,,,1999,36000
Page One,,,2002,51873
Page One,,,2006,50804
Page One,,,2009,42116
Page One,,,2015,69472
Page One,,,2017,80000
Page One,126,,2021,12000000
Belo Betty,,,1999,36000
Belo Betty,,,2002,51873
Belo Betty,,,2006,50804
Belo Betty,,,2009,42116
Belo Betty,,,2015,69472
Belo Betty,,,2017,80000
Belo Betty,127,,2021,12000000
Nami (Fish-Man drawing),,,1999,36000
Nami (Fish-Man drawing),,,2002,51873
Nami (Fish-Man drawing),,,2006,50804
Nami (Fish-Man drawing),,,2009,42116
Nami (Fish-Man drawing),,,2015,69472
Nami (Fish-Man drawing),,,2017,80000
Nami (Fish-Man drawing),137,,2021,12000000
Sasaki,,,1999,36000
Sasaki,,,2002,51873
Sasaki,,,2006,50804
Sasaki,,,2009,42116
Sasaki,,,2015,69472
Sasaki,,,2017,80000
Sasaki,141,,2021,12000000
Queen,,,1999,36000
Queen,,,2002,51873
Queen,,,2006,50804
Queen,,,2009,42116
Queen,,,2015,69472
Queen,,,2017,80000
Queen,144,,2021,12000000
Ryunosuke,,,1999,36000
Ryunosuke,,,2002,51873
Ryunosuke,,,2006,50804
Ryunosuke,,,2009,42116
Ryunosuke,,,2015,69472
Ryunosuke,,,2017,80000
Ryunosuke,145,,2021,12000000
Rocks D. Xebec,,,1999,36000
Rocks D. Xebec,,,2002,51873
Rocks D. Xebec,,,2006,50804
Rocks D. Xebec,,,2009,42116
Rocks D. Xebec,,,2015,69472
Rocks D. Xebec,,,2017,80000
Rocks D. Xebec,146,,2021,12000000
Nezumi,,,1999,36000
Nezumi,,,2002,51873
Nezumi,,,2006,50804
Nezumi,,,2009,42116
Nezumi,,,2015,69472
Nezumi,,,2017,80000
Nezumi,147,,2021,12000000
Shimotsuki Yasuie,,,1999,36000
Shimotsuki Yasuie,,,2002,51873
Shimotsuki Yasuie,,,2006,50804
Shimotsuki Yasuie,,,2009,42116
Shimotsuki Yasuie,,,2015,69472
Shimotsuki Yasuie,,,2017,80000
Shimotsuki Yasuie,151,,2021,12000000
Fisher Tiger,,,1999,36000
Fisher Tiger,,,2002,51873
Fisher Tiger,,,2006,50804
Fisher Tiger,,,2009,42116
Fisher Tiger,,,2015,69472
Fisher Tiger,,,2017,80000
Fisher Tiger,157,,2021,12000000
Gyro,,,1999,36000
Gyro,,,2002,51873
Gyro,,,2006,50804
Gyro,,,2009,42116
Gyro,,,2015,69472
Gyro,,,2017,80000
Gyro,164,,2021,12000000
Boa Sandersonia,,,1999,36000
Boa Sandersonia,,,2002,51873
Boa Sandersonia,,,2006,50804
Boa Sandersonia,,,2009,42116
Boa Sandersonia,,,2015,69472
Boa Sandersonia,,,2017,80000
Boa Sandersonia,166,,2021,12000000
Black Maria,,,1999,36000
Black Maria,,,2002,51873
Black Maria,,,2006,50804
Black Maria,,,2009,42116
Black Maria,,,2015,69472
Black Maria,,,2017,80000
Black Maria,168,,2021,12000000
Stussy,,,1999,36000
Stussy,,,2002,51873
Stussy,,,2006,50804
Stussy,,,2009,42116
Stussy,,,2015,69472
Stussy,,,2017,80000
Stussy,170,,2021,12000000
Kozuki Toki,,,1999,36000
Kozuki Toki,,,2002,51873
Kozuki Toki,,,2006,50804
Kozuki Toki,,,2009,42116
Kozuki Toki,,,2015,69472
Kozuki Toki,,,2017,80000
Kozuki Toki,171,,2021,12000000
Maynard,,,1999,36000
Maynard,,,2002,51873
Maynard,,,2006,50804
Maynard,,,2009,42116
Maynard,,,2015,69472
Maynard,,,2017,80000
Maynard,174,,2021,12000000
Straw Hat (Humanized),,,1999,36000
Straw Hat (Humanized),,,2002,51873
Straw Hat (Humanized),,,2006,50804
Straw Hat (Humanized),,,2009,42116
Straw Hat (Humanized),,,2015,69472
Straw Hat (Humanized),,,2017,80000
Straw Hat (Humanized),174,,2021,12000000
Spencer,,,1999,36000
Spencer,,,2002,51873
Spencer,,,2006,50804
Spencer,,,2009,42116
Spencer,,,2015,69472
Spencer,,,2017,80000
Spencer,177,,2021,12000000
Otohime,,,1999,36000
Otohime,,,2002,51873
Otohime,,,2006,50804
Otohime,,,2009,42116
Otohime,,,2015,69472
Otohime,,,2017,80000
Otohime,178,,2021,12000000
Babanuki,,,1999,36000
Babanuki,,,2002,51873
Babanuki,,,2006,50804
Babanuki,,,2009,42116
Babanuki,,,2015,69472
Babanuki,,,2017,80000
Babanuki,181,,2021,12000000
Charlos,,,1999,36000
Charlos,,,2002,51873
Charlos,,,2006,50804
Charlos,,,2009,42116
Charlos,,,2015,69472
Charlos,,,2017,80000
Charlos,185,,2021,12000000
Speed,,,1999,36000
Speed,,,2002,51873
Speed,,,2006,50804
Speed,,,2009,42116
Speed,,,2015,69472
Speed,,,2017,80000
Speed,187,,2021,12000000
Toko,,,1999,36000
Toko,,,2002,51873
Toko,,,2006,50804
Toko,,,2009,42116
Toko,,,2015,69472
Toko,,,2017,80000
Toko,189,,2021,12000000
Pearl,,,1999,36000
Pearl,,,2002,51873
Pearl,,,2006,50804
Pearl,,,2009,42116
Pearl,,,2015,69472
Pearl,,,2017,80000
Pearl,192,,2021,12000000
Gama Pyonnosuke,,,1999,36000
Gama Pyonnosuke,,,2002,51873
Gama Pyonnosuke,,,2006,50804
Gama Pyonnosuke,,,2009,42116
Gama Pyonnosuke,,,2015,69472
Gama Pyonnosuke,,,2017,80000
Gama Pyonnosuke,199,,2021,12000000
